 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
49188,4,2,0,12,0,6,6,6,0,0,0,0,0,3000000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,40,0,500000,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,329,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
49188,1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,329,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
49188,1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,329,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
49188,1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,329,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
49486,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,245,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
49486,1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,245,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
49486,1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,245,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
49486,1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,245,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
88,609,7,4,484,414,233,0,69.14285714,111.9678951,207,0,103.5,119.5115057,1474548.44,18062.39737,60.9,115.1949555,381,2,609,101.5,177.0895254,460,2,467,155.6666667,263.5608722,460,3,0,0,0,0,164,104,11494.25287,6568.144499,0,233,74.83333333,107.5274454,11562.15152,0,0,0,1,0,0,0,0,0,81.63636364,69.14285714,103.5,164,0,0,0,0,0,0,7,484,4,414,8192,2053,5,20,0,0,0,0,0,0,0,0,BENIGN
88,879,9,4,656,3064,313,0,72.88888889,136.1538142,1532,0,766,884.5006124,4232081.911,14789.53356,73.25,209.055071,734,1,879,109.875,281.9774244,806,1,764,254.6666667,434.1685541,756,3,0,0,0,0,204,104,10238.90785,4550.625711,0,1532,265.7142857,547.8425417,300131.4505,0,0,0,1,0,0,0,0,0,286.1538462,72.88888889,766,204,0,0,0,0,0,0,9,656,4,3064,8192,2053,7,20,0,0,0,0,0,0,0,0,BENIGN
88,1160,9,6,3134,3048,1552,0,348.2222222,682.4825598,1518,0,508,782.3472375,5329310.345,12931.03448,82.85714286,218.2461057,836,1,1160,145,326.9080255,950,1,1022,204.4,354.3533547,836,3,0,0,0,0,204,144,7758.62069,5172.413793,0,1552,386.375,684.9689896,469182.5167,0,0,0,1,0,0,0,0,0,412.1333333,348.2222222,508,204,0,0,0,0,0,0,9,3134,6,3048,8192,2053,7,20,0,0,0,0,0,0,0,0,BENIGN
88,524,7,4,2812,2820,1397,0,401.7142857,679.9148756,1410,0,705,814.0638796,10748091.6,20992.36641,52.4,83.67821965,284,1,524,87.33333333,143.7284477,377,1,440,146.6666667,169.1636289,342,49,0,0,0,0,164,104,13358.77863,7633.587786,0,1410,469.3333333,689.9433881,476021.8788,0,0,0,1,0,0,0,0,0,512,401.7142857,705,164,0,0,0,0,0,0,7,2812,4,2820,8192,2053,5,20,0,0,0,0,0,0,0,0,BENIGN
1034,6,1,1,6,6,6,6,6,0,6,6,6,0,2000000,333333.3333,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,166666.6667,166666.6667,6,6,6,0,0,0,0,0,0,1,0,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,2053,251,0,20,0,0,0,0,0,0,0,0,BENIGN
88,1119,9,6,3160,3060,1565,0,351.1111111,688.2149818,1524,0,510,785.445606,5558534.406,13404.82574,79.92857143,190.2906539,704,1,1119,139.875,263.0379861,759,1,1047,209.4,310.6385359,704,3,0,0,0,0,204,144,8042.895442,5361.930295,0,1565,388.75,689.2425311,475055.2667,0,0,0,1,0,0,0,0,0,414.6666667,351.1111111,510,204,0,0,0,0,0,0,9,3160,6,3060,8192,2053,7,20,0,0,0,0,0,0,0,0,BENIGN
389,18378,13,13,4160,5724,1672,0,320,612.9740343,2634,0,440.3076923,817.3089363,537816.9551,1414.735009,735.12,3222.599628,16177,1,18378,1531.5,4628.949213,16177,3,18292,1524.333333,4674.379635,16337,1,0,0,0,0,284,284,707.3675046,707.3675046,0,2634,366.0740741,700.494821,490692.9943,0,0,0,1,0,0,0,0,1,380.1538462,320,440.3076923,284,0,0,0,0,0,0,13,4160,13,5724,8192,0,11,20,0,0,0,0,0,0,0,0,BENIGN
88,822,7,4,458,356,220,0,65.42857143,105.6264758,178,0,89,102.7683479,990267.6399,13381.99513,82.2,177.6662289,579,1,822,137,269.6004451,683,1,660,220,375.8550252,654,3,0,0,0,0,164,104,8515.815085,4866.180049,0,220,67.83333333,97.7285976,9550.878788,0,0,0,1,0,0,0,0,0,74,65.42857143,89,164,0,0,0,0,0,0,7,458,4,356,8192,2053,5,20,0,0,0,0,0,0,0,0,BENIGN
88,876,9,4,630,2942,300,0,70,130.4223907,1471,0,735.5,849.282246,4077625.571,14840.18265,73,209.1993395,734,1,876,109.5,281.355393,804,1,756,252,429.5497643,748,3,0,0,0,0,204,104,10273.9726,4566.210046,0,1471,255.1428571,525.9783349,276653.2088,0,0,0,1,0,0,0,0,0,274.7692308,70,735.5,204,0,0,0,0,0,0,9,630,4,2942,8192,2053,7,20,0,0,0,0,0,0,0,0,BENIGN
88,1009,7,4,2748,2780,1365,0,392.5714286,664.3005989,1390,0,695,802.5168742,5478691.774,10901.88305,100.9,248.1027789,804,1,1009,168.1666667,340.1925435,861,1,864,288,492.7687084,857,3,0,0,0,0,164,104,6937.561943,3964.32111,0,1390,460.6666667,677.1727768,458562.9697,0,0,0,1,0,0,0,0,0,502.5454545,392.5714286,695,164,0,0,0,0,0,0,7,2748,4,2780,8192,2053,5,20,0,0,0,0,0,0,0,0,BENIGN
88,616,7,4,484,414,233,0,69.14285714,111.9678951,207,0,103.5,119.5115057,1457792.208,17857.14286,61.6,119.0062557,393,1,616,102.6666667,180.4933978,468,1,466,155.3333333,262.9835229,459,3,0,0,0,0,164,104,11363.63636,6493.506494,0,233,74.83333333,107.5274454,11562.15152,0,0,0,1,0,0,0,0,0,81.63636364,69.14285714,103.5,164,0,0,0,0,0,0,7,484,4,414,8192,2053,5,20,0,0,0,0,0,0,0,0,BENIGN
1045,5,1,1,6,6,6,6,6,0,6,6,6,0,2400000,400000,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,200000,200000,6,6,6,0,0,0,0,0,0,1,0,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,2053,255,0,20,0,0,0,0,0,0,0,0,BENIGN
88,946,9,4,654,3064,312,0,72.66666667,135.7129323,1532,0,766,884.5006124,3930232.558,13742.07188,78.83333333,193.2228263,689,1,946,118.25,248.5895929,730,1,790,263.3333333,449.1796226,782,3,0,0,0,0,204,104,9513.742072,4228.32981,0,1532,265.5714286,547.8293831,300117.033,0,0,0,1,0,0,0,0,0,286,72.66666667,766,204,0,0,0,0,0,0,9,654,4,3064,8192,2053,7,20,0,0,0,0,0,0,0,0,BENIGN
88,927,9,6,3160,3060,1565,0,351.1111111,688.2149818,1524,0,510,785.445606,6709816.613,16181.22977,66.21428571,181.8355887,694,2,927,115.875,277.9544863,801,2,909,181.8,286.5225995,694,47,0,0,0,0,204,144,9708.737864,6472.491909,0,1565,388.75,689.2425311,475055.2667,0,0,0,1,0,0,0,0,0,414.6666667,351.1111111,510,204,0,0,0,0,0,0,9,3160,6,3060,8192,2053,7,20,0,0,0,0,0,0,0,0,BENIGN
88,973,9,6,3112,3012,1541,0,345.7777778,677.6320495,1500,0,502,773.0521328,6293936.28,15416.23844,69.5,190.5820033,727,1,973,121.625,294.1277359,843,1,893,178.6,309.7132545,727,3,0,0,0,0,204,144,9249.743063,6166.495375,0,1541,382.75,678.5107712,460376.8667,0,0,0,1,0,0,0,0,0,408.2666667,345.7777778,502,204,0,0,0,0,0,0,9,3112,6,3012,8192,2053,7,20,0,0,0,0,0,0,0,0,BENIGN
88,953,7,4,2814,2836,1398,0,402,680.4028219,1418,0,709,818.6826817,5928646.38,11542.49738,95.3,211.9827299,692,1,953,158.8333333,333.2052921,837,2,854,284.6666667,408.1866403,756,49,0,0,0,0,164,104,7345.225603,4197.271773,0,1418,470.8333333,692.1741548,479105.0606,0,0,0,1,0,0,0,0,0,513.6363636,402,709,164,0,0,0,0,0,0,7,2814,4,2836,8192,2053,5,20,0,0,0,0,0,0,0,0,BENIGN
88,740,8,6,4948,270,2465,0,618.5,937.9019138,129,0,45,65.12142505,7051351.351,18918.91892,56.92307692,123.6981956,459,0,740,105.7142857,207.4196345,550,0,694,138.8,186.7584001,472,47,0,0,0,0,184,144,10810.81081,8108.108108,0,2465,347.8666667,728.8025273,531153.1238,0,0,0,1,0,0,0,0,0,372.7142857,618.5,45,184,0,0,0,0,0,0,8,4948,6,270,8192,2053,6,20,0,0,0,0,0,0,0,0,BENIGN
389,77033,13,11,4122,1038,1660,0,317.0769231,600.6818988,210,0,94.36363636,89.66300545,66984.27946,311.5547882,3349.26087,15550.73517,74678,2,77033,6419.416667,21541.96095,74816,2,76989,7698.9,23561.13637,74748,3,0,0,0,0,284,244,168.7588436,142.7959446,0,1660,206.4,444.8846292,197922.3333,0,0,0,1,0,0,0,0,0,215,317.0769231,94.36363636,284,0,0,0,0,0,0,13,4122,11,1038,8192,0,11,20,0,0,0,0,0,0,0,0,BENIGN
1051,46,1,1,6,6,6,6,6,0,6,6,6,0,260869.5652,43478.26087,46,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,21739.13043,21739.13043,6,6,6,0,0,1,0,0,0,1,0,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,0,254,0,20,0,0,0,0,0,0,0,0,BENIGN
88,1112,9,7,3134,3054,1552,0,348.2222222,682.4825598,1518,0,436.2857143,738.956407,5564748.201,14388.48921,74.13333333,207.4418565,819,1,1112,139,298.7865937,875,1,1058,176.3333333,317.4798681,819,3,0,0,0,0,204,164,8093.52518,6294.964029,0,1552,364,669.6039874,448369.5,0,0,0,1,0,0,0,0,0,386.75,348.2222222,436.2857143,204,0,0,0,0,0,0,9,3134,7,3054,8192,2053,7,20,0,0,0,0,0,0,0,0,BENIGN
88,655,7,4,2812,2820,1397,0,401.7142857,679.9148756,1410,0,705,814.0638796,8598473.282,16793.89313,65.5,91.55720737,274,0,655,109.1666667,172.4464168,459,1,556,185.3333333,186.0035842,372,0,0,0,0,0,164,104,10687.0229,6106.870229,0,1410,469.3333333,689.9433881,476021.8788,0,0,0,1,0,0,0,0,0,512,401.7142857,705,164,0,0,0,0,0,0,7,2812,4,2820,8192,2053,5,20,0,0,0,0,0,0,0,0,BENIGN
80,40643,3,4,103,191,97,0,34.33333333,54.35377938,179,0,47.75,87.54570235,7233.717983,172.2313806,6773.833333,10209.4064,19958,3,20083,10041.5,14094.75947,20008,75,20685,6895,11413.09476,20069,3,0,0,0,0,72,92,73.81344881,98.41793175,0,179,36.75,66.28240447,4393.357143,0,0,0,1,0,0,0,0,1,42,34.33333333,47.75,72,0,0,0,0,0,0,3,103,4,191,8192,913,2,20,0,0,0,0,0,0,0,0,BENIGN
80,4,2,0,12,0,6,6,6,0,0,0,0,0,3000000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,40,0,500000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,255,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
49671,26361049,21,14,3720,2672,936,0,177.1428571,268.1367721,952,0,190.8571429,324.9593719,242.4789696,1.327716511,775324.9706,4298075.297,25084797,1,26361049,1318052.45,5597543.477,25084797,1,1068197,82169,295756.819,1066507,2,0,0,0,0,444,304,0.796629907,0.531086604,0,952,177.5555556,285.0932123,81278.13968,0,0,0,1,0,0,0,0,0,182.6285714,177.1428571,190.8571429,444,0,0,0,0,0,0,21,3720,14,2672,8192,2053,19,20,0,0,0,0,0,0,0,0,BENIGN
49671,52,1,2,6,12,6,6,6,0,6,6,6,0,346153.8462,57692.30769,26,31.11269837,48,4,0,0,0,0,0,4,4,0,4,4,0,0,0,0,20,40,19230.76923,38461.53846,6,6,6,0,0,0,0,0,0,1,1,0,0,2,8,6,6,20,0,0,0,0,0,0,1,6,2,12,251,2053,0,20,0,0,0,0,0,0,0,0,BENIGN
1029,0,2,0,12,0,6,6,6,0,0,0,0,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,2053,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
88,1067,9,6,3084,2984,1527,0,342.6666667,671.4586733,1486,0,497.3333333,765.8226078,5686972.821,14058.10684,76.21428571,204.8084203,782,1,1067,133.375,311.1967396,901,1,998,199.6,331.0080059,782,1,0,0,0,0,204,144,8434.864105,5623.242737,0,1527,379.25,672.2505981,451920.8667,0,0,0,1,0,0,0,0,0,404.5333333,342.6666667,497.3333333,204,0,0,0,0,0,0,9,3084,6,2984,8192,2053,7,20,0,0,0,0,0,0,0,0,BENIGN
389,3536,13,11,4094,1038,1646,0,314.9230769,595.4657087,210,0,94.36363636,89.66300545,1451357.466,6787.330317,153.7391304,318.3389014,1210,1,3536,294.6666667,468.5283213,1348,1,3497,349.7,468.6436813,1276,3,0,0,0,0,284,244,3676.470588,3110.859729,0,1646,205.28,441.0732668,194545.6267,0,0,0,1,0,0,0,0,0,213.8333333,314.9230769,94.36363636,284,0,0,0,0,0,0,13,4094,11,1038,8192,0,11,20,0,0,0,0,0,0,0,0,BENIGN
389,519267,15,10,4844,3982,1660,0,322.9333333,568.0938638,1268,0,398.2,498.0389989,16997.03621,48.14478871,21636.125,74227.68339,315131,3,519267,37090.5,95598.29674,315131,3,7445,827.2222222,1361.899205,3835,3,0,0,0,0,324,224,28.88687323,19.25791548,0,1660,339.4615385,525.5263442,276177.9385,0,0,0,1,0,0,0,0,0,353.04,322.9333333,398.2,324,0,0,0,0,0,0,15,4844,10,3982,8192,2050,13,20,0,0,0,0,0,0,0,0,BENIGN
1059,46,2,1,12,6,6,6,6,0,6,6,6,0,391304.3478,65217.3913,23,26.87005769,42,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,40,20,43478.26087,21739.13043,6,6,6,0,0,1,0,0,0,1,0,0,0,0,8,6,6,40,0,0,0,0,0,0,2,12,1,6,0,256,1,20,0,0,0,0,0,0,0,0,BENIGN
139,13230245,23,20,1976,2238,228,0,85.91304348,67.34369988,414,0,111.9,126.0989169,318.5126201,3.250128777,315005.8333,2009537.611,13026743,3,13230245,601374.7727,2775567.424,13026743,3,13229879,696309.4211,3034079.57,13225490,3,0,0,0,0,484,424,1.738440974,1.511687803,0,414,95.77272727,98.65393205,9732.598309,0,0,0,1,0,0,0,0,0,98,85.91304348,111.9,484,0,0,0,0,0,0,23,1976,20,2238,8192,2050,21,20,202580,0,202580,202580,13026743,0,13026743,13026743,BENIGN
139,55,1,1,6,6,6,6,6,0,6,6,6,0,218181.8182,36363.63636,55,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,18181.81818,18181.81818,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,252,2050,0,20,0,0,0,0,0,0,0,0,BENIGN
389,464,10,4,165,326,79,0,16.5,33.01262385,163,0,81.5,94.10809388,1058189.655,30172.41379,35.69230769,28.01899539,101,0,464,51.55555556,53.01205314,163,0,320,106.6666667,100.7488627,223,48,0,0,0,0,336,144,21551.72414,8620.689655,0,163,32.73333333,59.52006464,3542.638095,0,0,0,1,0,0,0,0,0,35.07142857,16.5,81.5,336,0,0,0,0,0,0,10,165,4,326,29200,2081,3,32,0,0,0,0,0,0,0,0,BENIGN
389,1,2,0,7,0,7,0,3.5,4.949747468,0,0,0,0,7000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,64,0,2000000,0,0,7,4.666666667,4.041451884,16.33333333,0,1,0,0,1,0,0,0,0,7,3.5,0,64,0,0,0,0,0,0,2,7,0,0,237,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
88,1175,9,6,3110,3108,1555,0,345.5555556,685.6905481,1554,0,518,802.4821493,5291914.894,12765.95745,83.92857143,219.1801031,842,1,1175,146.875,307.7148204,906,1,1036,207.2,358.9633686,842,4,0,0,0,0,304,208,7659.574468,5106.382979,0,1555,388.625,695.1935822,483294.1167,0,0,0,1,0,0,0,0,0,414.5333333,345.5555556,518,304,0,0,0,0,0,0,9,3110,6,3108,29200,2081,2,32,0,0,0,0,0,0,0,0,BENIGN
